,상호명,상권업종소분류명,경도,위도,법정동명
207701,KIDSCLUB목동스쿨,학원-외국어/어학,126.872386972973,37.5202587306893,신정동
207785,영어숲,학원-외국어/어학,126.963156341906,37.476263225778204,봉천동
207799,벌리츠,학원-외국어/어학,126.926956976073,37.5219475086913,여의도동
207803,파고다외국어학원,학원-외국어/어학,127.02619825193199,37.4997945866551,서초동
207922,영어숲,학원-외국어/어학,126.967877279404,37.4864864625405,사당동
207964,파고다원,학원-외국어/어학,127.02619825193199,37.4997945866551,서초동
208169,영어전문학원,학원-외국어/어학,126.950809691465,37.4989418176433,상도1동
208173,윤선생영어교실,학원-외국어/어학,126.868228361369,37.52521071101361,목동
208238,모놀어학원,학원-외국어/어학,126.98509169269501,37.568829171435496,관철동
208293,폴리어학원,학원-외국어/어학,126.844604277188,37.5576084201287,내발산동
208295,강태우어학원,학원-외국어/어학,127.03528484203899,37.6591015576942,쌍문동
208491,설리번영어스쿨,학원-외국어/어학,127.024249226742,37.520070221114395,신사동
208519,파라곤어학원,학원-외국어/어학,127.095252872366,37.541152496608,구의동
208611,브레이니어학원,학원-외국어/어학,127.01115323749701,37.640466626326706,수유동
208631,키즈콜럼버스,학원-외국어/어학,126.920599612867,37.5870437014749,응암동
208689,버클리에스에이티어학원,학원-외국어/어학,127.02852325914199,37.521979641824295,신사동
208711,소피킹칸영어,학원-외국어/어학,126.963082142306,37.4775420708313,봉천동
208759,영어동화SCHOOL,학원-외국어/어학,126.870595896767,37.528008576720204,목동
208862,폴리어학원,학원-외국어/어학,126.93583995287901,37.580676612361,홍은동
208929,민병철어학원,학원-외국어/어학,126.901396995951,37.4821115747077,신림동
209115,시사영어사서대문어학원,학원-외국어/어학,126.93493003063999,37.571432778216206,연희동
209156,윤선생영어교실,학원-외국어/어학,127.082837700679,37.5579153897833,중곡동
209197,이보영의토킹클럽금천시흥학원점금천시흥학원점,학원-외국어/어학,126.90712150951401,37.4516010215659,시흥동
209244,파고다외국어학원,학원-외국어/어학,126.93927795426599,37.5561993158556,창천동
209358,종로신중성어학원,학원-외국어/어학,127.028697615749,37.5006711659934,역삼동
209388,랭콘잉글리쉬남잠실점,학원-외국어/어학,127.093431743168,37.5055648454483,삼전동
209428,CMC학원,학원-외국어/어학,127.023304898617,37.5595193358913,하왕십리동
209547,하바어학원,학원-외국어/어학,127.00302804193399,37.591336840428,성북동
209604,YBM어학원,학원-외국어/어학,126.93855689045,37.5559675754759,창천동
209612,파고다어학원종로,학원-외국어/어학,126.988119006695,37.568467710586795,관철동
209638,북경어문학원,학원-외국어/어학,126.865735961362,37.5000297403439,고척동
209679,프랜드어학원,학원-외국어/어학,127.029625900035,37.662848480673794,방학동
